"","avg_cloud_cover_4","avg_cloud_cover_8","avg_cloud_cover_10","date","rain","year","month","day"
"238",NA,4,NA,2021-03-31,0,2021,3,31
"239",NA,4,NA,2021-03-30,0,2021,3,30
"240",NA,2.5,NA,2021-03-29,0,2021,3,29
"241",NA,4.5,NA,2021-03-28,4.2,2021,3,28
"242",NA,6.5,NA,2021-03-27,0,2021,3,27
"243",NA,5,NA,2021-03-26,0,2021,3,26
"244",NA,4.5,NA,2021-03-25,0,2021,3,25
"245",NA,7,NA,2021-03-24,6,2021,3,24
"246",NA,4,NA,2021-03-23,0.4,2021,3,23
"247",NA,4,NA,2021-03-22,0,2021,3,22
"248",NA,8,NA,2021-03-21,5.9,2021,3,21
"249",NA,8,NA,2021-03-20,1.8,2021,3,20
"250",NA,7.5,NA,2021-03-19,0.9,2021,3,19
"251",NA,6,NA,2021-03-18,2.7,2021,3,18
"252",NA,6,NA,2021-03-17,1,2021,3,17
"253",NA,4,NA,2021-03-16,0,2021,3,16
"254",NA,2.5,NA,2021-03-15,0,2021,3,15
"255",NA,6,NA,2021-03-14,1.2,2021,3,14
"256",NA,5.5,NA,2021-03-13,0,2021,3,13
"257",NA,5.5,NA,2021-03-12,0,2021,3,12
"258",NA,4,NA,2021-03-11,0,2021,3,11
"259",NA,4,NA,2021-03-10,0,2021,3,10
"260",NA,5.5,NA,2021-03-09,0,2021,3,9
"261",NA,7,NA,2021-03-08,0,2021,3,8
"262",NA,7,NA,2021-03-07,1.5,2021,3,7
"263",NA,7,NA,2021-03-06,0.7,2021,3,6
"264",NA,6,NA,2021-03-05,3.7,2021,3,5
"265",NA,6.5,NA,2021-03-04,4,2021,3,4
"266",NA,4,NA,2021-03-03,0,2021,3,3
"267",NA,6,NA,2021-03-02,0,2021,3,2
"268",NA,6,NA,2021-03-01,0,2021,3,1
"269",NA,8,NA,2021-02-28,3.3,2021,2,28
"270",NA,4,NA,2021-02-27,0.6,2021,2,27
"271",NA,4,NA,2021-02-26,1.6,2021,2,26
"272",NA,6,NA,2021-02-25,4.6,2021,2,25
"273",NA,4,NA,2021-02-24,0,2021,2,24
"274",NA,4,NA,2021-02-23,0.2,2021,2,23
"275",NA,4,NA,2021-02-22,1.5,2021,2,22
"276",NA,8,NA,2021-02-21,1.9,2021,2,21
"277",NA,4.5,NA,2021-02-20,1.1,2021,2,20
"278",NA,4.5,NA,2021-02-19,1.4,2021,2,19
"279",NA,7.5,NA,2021-02-18,1.7,2021,2,18
"280",NA,5,NA,2021-02-17,0,2021,2,17
"281",NA,4,NA,2021-02-16,0.2,2021,2,16
"282",NA,7.5,NA,2021-02-15,13.4,2021,2,15
"283",NA,8,NA,2021-02-14,0.2,2021,2,14
"284",NA,6,NA,2021-02-13,0,2021,2,13
"285",NA,4,NA,2021-02-12,0,2021,2,12
"286",NA,4,NA,2021-02-11,0,2021,2,11
"287",NA,7.5,NA,2021-02-10,0,2021,2,10
"288",NA,4.5,NA,2021-02-09,0,2021,2,9
"289",NA,4.5,NA,2021-02-08,0,2021,2,8
"290",NA,4,NA,2021-02-07,0,2021,2,7
"291",NA,4,NA,2021-02-06,1.9,2021,2,6
"292",NA,6,NA,2021-02-05,1.1,2021,2,5
"293",NA,7.5,NA,2021-02-04,7.6,2021,2,4
"294",NA,4,NA,2021-02-03,0,2021,2,3
"295",NA,7.5,NA,2021-02-02,13.5,2021,2,2
"296",NA,8,NA,2021-02-01,19.2,2021,2,1
"297",NA,8,NA,2021-01-31,7.3,2021,1,31
"298",NA,8,NA,2021-01-30,1.7,2021,1,30
"299",NA,7.5,NA,2021-01-29,0,2021,1,29
"300",NA,7.5,NA,2021-01-28,1.4,2021,1,28
"301",NA,7.5,NA,2021-01-27,0.4,2021,1,27
"302",NA,5.5,NA,2021-01-26,0,2021,1,26
"303",NA,6,NA,2021-01-25,10.7,2021,1,25
"304",NA,7.5,NA,2021-01-24,9,2021,1,24
"305",NA,4,NA,2021-01-23,0,2021,1,23
"306",NA,1.5,NA,2021-01-22,0,2021,1,22
"307",NA,4,NA,2021-01-21,0.5,2021,1,21
"308",NA,7.5,NA,2021-01-20,0,2021,1,20
"309",NA,6.5,NA,2021-01-19,0,2021,1,19
"310",NA,4,NA,2021-01-18,0,2021,1,18
"311",NA,6.5,NA,2021-01-17,0.7,2021,1,17
"312",NA,5,NA,2021-01-16,2.5,2021,1,16
"313",NA,4,NA,2021-01-15,2.1,2021,1,15
"314",NA,4,NA,2021-01-14,0,2021,1,14
"315",NA,4.5,NA,2021-01-13,3.9,2021,1,13
"316",NA,8,NA,2021-01-12,22.1,2021,1,12
"317",NA,8,NA,2021-01-11,15.2,2021,1,11
"318",NA,7.5,NA,2021-01-10,4.4,2021,1,10
"319",NA,4.5,NA,2021-01-09,0,2021,1,9
"320",NA,4.5,NA,2021-01-08,9.3,2021,1,8
"321",NA,5,NA,2021-01-07,0,2021,1,7
"322",NA,4.5,NA,2021-01-06,0.2,2021,1,6
"323",NA,5,NA,2021-01-05,29.5,2021,1,5
"324",NA,5,NA,2021-01-04,18.1,2021,1,4
"325",NA,4.5,NA,2021-01-03,6.4,2021,1,3
"326",NA,7.5,NA,2021-01-02,12.7,2021,1,2
"327",NA,6.5,NA,2021-01-01,17.6,2021,1,1
"328",NA,7.5,NA,2020-12-31,6.8,2020,12,31
"329",NA,7.5,NA,2020-12-30,31.6,2020,12,30
"330",NA,7,NA,2020-12-29,8.2,2020,12,29
"331",NA,5,NA,2020-12-28,0.8,2020,12,28
"332",NA,7,NA,2020-12-27,6.4,2020,12,27
"333",NA,6.5,NA,2020-12-26,3.7,2020,12,26
"334",NA,8,NA,2020-12-25,8.1,2020,12,25
"335",NA,4,NA,2020-12-24,0,2020,12,24
"336",NA,4,NA,2020-12-23,0,2020,12,23
"337",NA,3.5,NA,2020-12-22,0,2020,12,22
"338",NA,5,NA,2020-12-21,31.8,2020,12,21
"339",NA,6.5,NA,2020-12-20,0,2020,12,20
"340",NA,5,NA,2020-12-19,19.6,2020,12,19
"341",NA,7,NA,2020-12-18,19.7,2020,12,18
"342",NA,6.5,NA,2020-12-17,9.1,2020,12,17
"343",NA,7,NA,2020-12-16,7.6,2020,12,16
"344",NA,7.5,NA,2020-12-15,7.4,2020,12,15
"345",NA,7,NA,2020-12-14,1.5,2020,12,14
"346",NA,7.5,NA,2020-12-13,10.4,2020,12,13
"347",NA,4,NA,2020-12-12,0,2020,12,12
"348",NA,4,NA,2020-12-11,9.2,2020,12,11
"349",NA,7.5,NA,2020-12-10,0,2020,12,10
"350",NA,5,NA,2020-12-09,0.3,2020,12,9
"351",NA,8,NA,2020-12-08,NA,2020,12,8
"352",NA,7.5,NA,2020-12-07,NA,2020,12,7
"353",NA,7.5,NA,2020-12-06,NA,2020,12,6
"354",NA,4,NA,2020-12-05,NA,2020,12,5
"355",NA,4,NA,2020-12-04,NA,2020,12,4
"356",NA,4.5,NA,2020-12-03,NA,2020,12,3
"357",NA,2,NA,2020-12-02,NA,2020,12,2
"358",NA,1.5,NA,2020-12-01,NA,2020,12,1
"359",NA,4.5,NA,2020-11-30,3.9,2020,11,30
"360",NA,5,NA,2020-11-29,0.2,2020,11,29
"361",NA,4.5,NA,2020-11-28,0,2020,11,28
"362",NA,6,NA,2020-11-27,1.2,2020,11,27
"363",NA,8,NA,2020-11-26,2.4,2020,11,26
"364",NA,7,NA,2020-11-25,1.2,2020,11,25
"365",NA,5.5,NA,2020-11-24,9.5,2020,11,24
